account_id,role,opened_date,country
ACC0001,normal,2024-11-23,US
ACC0002,normal,2024-01-13,DE
ACC0003,normal,2024-05-05,UK
ACC0004,normal,2024-03-12,US
ACC0005,normal,2024-12-12,BR
ACC0006,normal,2024-02-14,NG
ACC0007,normal,2024-01-17,US
ACC0008,normal,2024-02-17,UK
ACC0009,normal,2024-04-29,BR
ACC0010,normal,2024-11-04,US
ACC0011,normal,2024-10-14,UK
ACC0012,normal,2025-01-01,BR
ACC0013,normal,2024-08-02,UK
ACC0014,normal,2024-08-17,DE
ACC0015,normal,2025-02-18,US
ACC0016,normal,2025-01-23,US
ACC0017,normal,2024-12-23,NG
ACC0018,normal,2024-06-23,DE
ACC0019,normal,2024-03-20,UK
ACC0020,normal,2025-05-05,IN
ACC0021,normal,2024-02-22,US
ACC0022,normal,2024-07-13,US
ACC0023,normal,2024-07-02,IN
ACC0024,normal,2024-11-05,DE
ACC0025,normal,2025-02-17,US
ACC0026,normal,2025-01-08,PH
ACC0027,normal,2024-10-01,US
ACC0028,normal,2025-05-13,NG
ACC0029,normal,2024-02-10,BR
ACC0030,normal,2024-05-30,IN
ACC0031,normal,2024-10-22,UK
ACC0032,normal,2024-12-26,US
ACC0033,normal,2024-01-24,UK
ACC0034,normal,2025-01-30,DE
ACC0035,normal,2024-02-10,UK
ACC0036,normal,2025-03-19,US
ACC0037,normal,2024-07-13,DE
ACC0038,normal,2024-08-20,IN
ACC0039,normal,2024-03-24,IN
ACC0040,normal,2024-06-30,UK
ACC0041,normal,2024-12-09,DE
ACC0042,normal,2024-12-25,US
ACC0043,normal,2024-11-07,US
ACC0044,normal,2024-09-30,UK
ACC0045,normal,2024-03-24,PH
ACC0046,normal,2024-07-13,DE
ACC0047,normal,2025-04-18,BR
ACC0048,normal,2024-04-22,IN
ACC0049,normal,2025-03-07,US
ACC0050,normal,2024-04-27,US
ACC0051,normal,2025-02-16,IN
ACC0052,normal,2024-07-24,DE
ACC0053,normal,2024-02-03,UK
ACC0054,normal,2025-04-12,IN
ACC0055,normal,2024-04-18,PH
ACC0056,normal,2024-07-21,PH
ACC0057,normal,2024-03-14,DE
ACC0058,normal,2024-03-12,UK
ACC0059,normal,2025-01-16,BR
ACC0060,normal,2024-10-02,DE
ACC0061,normal,2025-01-17,NG
ACC0062,normal,2025-04-04,NG
ACC0063,normal,2024-07-04,UK
ACC0064,normal,2024-03-11,BR
ACC0065,normal,2024-09-09,US
ACC0066,normal,2025-01-21,US
ACC0067,normal,2025-03-16,US
ACC0068,normal,2024-03-19,US
ACC0069,normal,2025-02-09,NG
ACC0070,normal,2024-11-01,US
ACC0071,normal,2024-07-16,NG
ACC0072,normal,2024-11-01,PH
ACC0073,normal,2024-09-27,DE
ACC0074,normal,2025-05-12,BR
ACC0075,normal,2025-03-16,US
ACC0076,normal,2024-12-14,US
ACC0077,normal,2024-12-15,BR
ACC0078,normal,2025-01-19,DE
ACC0079,normal,2025-01-28,IN
ACC0080,normal,2024-02-27,DE
ACC0081,normal,2024-08-10,US
ACC0082,normal,2024-08-20,US
ACC0083,normal,2025-05-03,DE
ACC0084,normal,2025-05-12,BR
ACC0085,normal,2025-01-25,US
ACC0086,normal,2024-09-16,US
ACC0087,normal,2025-03-21,DE
ACC0088,normal,2025-03-06,BR
ACC0089,normal,2024-11-07,UK
ACC0090,normal,2024-03-19,IN
ACC0091,normal,2025-01-25,US
ACC0092,normal,2024-10-03,BR
ACC0093,normal,2025-04-15,US
ACC0094,normal,2024-11-02,IN
ACC0095,normal,2024-09-07,US
ACC0096,normal,2024-02-27,IN
ACC0097,normal,2025-03-25,DE
ACC0098,normal,2024-05-02,US
ACC0099,normal,2024-05-03,US
ACC0100,normal,2024-02-13,PH
ACC0101,normal,2025-02-21,US
ACC0102,normal,2025-05-15,BR
ACC0103,normal,2025-01-27,US
ACC0104,normal,2024-03-06,PH
ACC0105,normal,2025-04-29,BR
ACC0106,normal,2024-03-25,DE
ACC0107,normal,2024-09-27,NG
ACC0108,normal,2025-05-08,UK
ACC0109,normal,2025-04-20,BR
ACC0110,normal,2025-01-21,UK
ACC0111,normal,2024-12-31,DE
ACC0112,normal,2024-07-23,IN
ACC0113,normal,2024-08-12,BR
ACC0114,normal,2024-08-19,US
ACC0115,normal,2024-05-06,UK
ACC0116,normal,2024-02-02,IN
ACC0117,normal,2024-01-11,BR
ACC0118,normal,2024-04-27,UK
ACC0119,normal,2024-01-04,US
ACC0120,normal,2024-12-28,US
ACC0121,fraud_source,2024-04-27,US
ACC0122,fraud_source,2025-04-08,US
ACC0123,fraud_source,2025-03-16,IN
ACC0124,fraud_source,2024-02-06,BR
ACC0125,fraud_source,2024-05-01,DE
ACC0126,fraud_mule,2024-12-08,PH
ACC0127,fraud_mule,2024-04-19,BR
